"","Chisq","Df","Pr(>Chisq)"
"treatment",0.00275345394801555,1,0.958151518395228
"bat_species",22.1138006419024,3,6.17694563513479e-05
"treatment:bat_species",1.84314348232168,3,0.605591733286153
