time,g_emited,replicate,volatile
0,0.00015,1-bc,b-caryophyllene
16,0.00863,1-bc,b-caryophyllene
36,0.009926,1-bc,b-caryophyllene
55,0.00995,1-bc,b-caryophyllene
76,0.01003,1-bc,b-caryophyllene
96,0.01017,1-bc,b-caryophyllene
116,0.01031,1-bc,b-caryophyllene
136,0.01047,1-bc,b-caryophyllene
146,0.01058,1-bc,b-caryophyllene
166,0.01076,1-bc,b-caryophyllene
190,0.01089,1-bc,b-caryophyllene
220,0.01119,1-bc,b-caryophyllene
0,0.00015,2-bc,b-caryophyllene
16,0.00031,2-bc,b-caryophyllene
36,0.00042,2-bc,b-caryophyllene
55,0.00062,2-bc,b-caryophyllene
76,0.00069,2-bc,b-caryophyllene
96,0.00088,2-bc,b-caryophyllene
116,0.00099,2-bc,b-caryophyllene
136,0.00116,2-bc,b-caryophyllene
146,0.00124,2-bc,b-caryophyllene
166,0.00142,2-bc,b-caryophyllene
190,0.00163,2-bc,b-caryophyllene
220,0.00188,2-bc,b-caryophyllene
0,0.00014,3-bc,b-caryophyllene
16,0.00568,3-bc,b-caryophyllene
36,0.00587,3-bc,b-caryophyllene
55,0.00596,3-bc,b-caryophyllene
76,0.00617,3-bc,b-caryophyllene
96,0.00638,3-bc,b-caryophyllene
116,0.00645,3-bc,b-caryophyllene
136,0.00669,3-bc,b-caryophyllene
146,0.00678,3-bc,b-caryophyllene
166,0.007,3-bc,b-caryophyllene
190,0.00717,3-bc,b-caryophyllene
220,0.00746,3-bc,b-caryophyllene
0,0.00233,1-hp,2-heptanol
16,0.00512,1-hp,2-heptanol
36,0.00818,1-hp,2-heptanol
55,0.01043,1-hp,2-heptanol
76,0.01396,1-hp,2-heptanol
96,0.0165,1-hp,2-heptanol
116,0.01926,1-hp,2-heptanol
136,0.02164,1-hp,2-heptanol
146,0.02335,1-hp,2-heptanol
166,0.02643,1-hp,2-heptanol
190,0.02936,1-hp,2-heptanol
220,0.03333,1-hp,2-heptanol
0,0.00241,2-hp,2-heptanol
16,0.00507,2-hp,2-heptanol
36,0.00755,2-hp,2-heptanol
55,0.0094,2-hp,2-heptanol
76,0.01285,2-hp,2-heptanol
96,0.01517,2-hp,2-heptanol
116,0.01735,2-hp,2-heptanol
136,0.01979,2-hp,2-heptanol
146,0.02167,2-hp,2-heptanol
166,0.02454,2-hp,2-heptanol
190,0.02743,2-hp,2-heptanol
220,0.03099,2-hp,2-heptanol
0,0.00257,3-hp,2-heptanol
16,0.00787,3-hp,2-heptanol
36,0.01016,3-hp,2-heptanol
55,0.01264,3-hp,2-heptanol
76,0.01485,3-hp,2-heptanol
96,0.01729,3-hp,2-heptanol
116,0.01967,3-hp,2-heptanol
136,0.02155,3-hp,2-heptanol
146,0.02329,3-hp,2-heptanol
166,0.02523,3-hp,2-heptanol
190,0.02767,3-hp,2-heptanol
220,0.03139,3-hp,2-heptanol
